Filename:  P:\FYS-1320-compton-data\135.mca
Description:  
TimeStamp:  03/09/2017 11:26:34

Calibration Information
Label:  Channel
Channel	Value
623.7	13.95
795.56	17.74
2664.63	59.54
A	B	C
-0.0131686	0.0223487	0

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	1
43	2
44	2
45	1
46	1
47	3
48	1
49	7
50	3
51	4
52	2
53	4
54	5
55	5
56	7
57	2
58	7
59	6
60	17
61	7
62	9
63	6
64	10
65	11
66	8
67	14
68	7
69	10
70	8
71	16
72	14
73	10
74	12
75	12
76	15
77	11
78	12
79	13
80	7
81	16
82	11
83	11
84	13
85	11
86	12
87	15
88	13
89	17
90	16
91	13
92	14
93	17
94	20
95	11
96	10
97	11
98	17
99	13
100	13
101	7
102	7
103	16
104	12
105	12
106	14
107	13
108	15
109	10
110	10
111	10
112	9
113	12
114	15
115	16
116	14
117	10
118	13
119	14
120	12
121	9
122	17
123	9
124	13
125	11
126	11
127	12
128	13
129	13
130	14
131	10
132	14
133	7
134	17
135	7
136	7
137	11
138	15
139	4
140	15
141	14
142	14
143	11
144	12
145	11
146	9
147	14
148	12
149	15
150	8
151	6
152	12
153	13
154	10
155	13
156	16
157	12
158	10
159	9
160	7
161	6
162	8
163	7
164	5
165	9
166	9
167	8
168	7
169	10
170	10
171	14
172	9
173	8
174	17
175	14
176	11
177	11
178	17
179	6
180	5
181	8
182	10
183	12
184	11
185	8
186	15
187	7
188	2
189	5
190	8
191	7
192	13
193	8
194	12
195	12
196	8
197	10
198	8
199	11
200	9
201	8
202	8
203	10
204	11
205	16
206	10
207	7
208	10
209	14
210	12
211	7
212	11
213	7
214	9
215	11
216	17
217	15
218	10
219	10
220	7
221	9
222	7
223	5
224	12
225	9
226	11
227	13
228	12
229	8
230	12
231	11
232	8
233	10
234	18
235	8
236	12
237	7
238	11
239	14
240	9
241	5
242	10
243	9
244	10
245	11
246	10
247	14
248	12
249	9
250	8
251	12
252	8
253	13
254	10
255	9
256	7
257	10
258	11
259	5
260	10
261	10
262	11
263	9
264	9
265	9
266	9
267	7
268	16
269	7
270	12
271	15
272	7
273	15
274	10
275	16
276	9
277	7
278	15
279	12
280	18
281	13
282	11
283	15
284	15
285	10
286	13
287	18
288	20
289	17
290	14
291	8
292	10
293	12
294	19
295	11
296	15
297	8
298	11
299	13
300	7
301	11
302	7
303	7
304	10
305	10
306	11
307	9
308	11
309	13
310	4
311	12
312	15
313	14
314	10
315	10
316	13
317	10
318	10
319	16
320	8
321	6
322	11
323	12
324	9
325	13
326	6
327	12
328	8
329	14
330	15
331	14
332	15
333	20
334	14
335	19
336	11
337	8
338	14
339	11
340	13
341	9
342	8
343	8
344	6
345	5
346	8
347	6
348	9
349	7
350	10
351	13
352	6
353	8
354	3
355	11
356	11
357	13
358	9
359	20
360	14
361	12
362	15
363	13
364	16
365	7
366	11
367	12
368	8
369	7
370	8
371	9
372	9
373	7
374	4
375	7
376	9
377	9
378	7
379	8
380	6
381	9
382	6
383	8
384	10
385	5
386	20
387	5
388	11
389	15
390	20
391	8
392	8
393	7
394	11
395	7
396	3
397	2
398	3
399	7
400	5
401	3
402	6
403	4
404	6
405	4
406	3
407	2
408	5
409	5
410	2
411	3
412	7
413	5
414	6
415	7
416	4
417	0
418	4
419	4
420	6
421	3
422	4
423	4
424	3
425	3
426	2
427	1
428	3
429	2
430	5
431	2
432	4
433	5
434	2
435	3
436	2
437	3
438	1
439	2
440	0
441	1
442	4
443	3
444	1
445	2
446	6
447	2
448	0
449	1
450	1
451	4
452	1
453	2
454	3
455	1
456	4
457	5
458	5
459	2
460	4
461	1
462	2
463	7
464	4
465	7
466	12
467	12
468	19
469	22
470	13
471	19
472	31
473	31
474	22
475	21
476	19
477	16
478	12
479	11
480	13
481	6
482	8
483	5
484	5
485	6
486	1
487	8
488	4
489	3
490	0
491	3
492	4
493	2
494	2
495	0
496	2
497	1
498	2
499	2
500	3
501	0
502	1
503	2
504	2
505	2
506	0
507	1
508	1
509	1
510	2
511	8
512	3
513	5
514	1
515	0
516	1
517	0
518	1
519	1
520	0
521	1
522	1
523	1
524	2
525	1
526	3
527	2
528	0
529	1
530	2
531	2
532	4
533	2
534	0
535	1
536	1
537	1
538	1
539	0
540	0
541	1
542	2
543	3
544	1
545	3
546	3
547	1
548	3
549	3
550	6
551	6
552	3
553	6
554	3
555	5
556	3
557	9
558	19
559	15
560	14
561	18
562	37
563	31
564	22
565	33
566	30
567	36
568	25
569	22
570	23
571	19
572	25
573	15
574	7
575	8
576	8
577	13
578	5
579	3
580	8
581	9
582	6
583	9
584	6
585	4
586	7
587	2
588	3
589	0
590	3
591	0
592	2
593	1
594	1
595	1
596	2
597	1
598	3
599	2
600	1
601	2
602	1
603	0
604	0
605	1
606	1
607	0
608	2
609	0
610	0
611	1
612	1
613	0
614	0
615	0
616	3
617	0
618	0
619	2
620	2
621	1
622	2
623	1
624	1
625	1
626	0
627	0
628	0
629	0
630	3
631	1
632	0
633	1
634	1
635	1
636	1
637	1
638	2
639	0
640	0
641	2
642	1
643	0
644	0
645	1
646	1
647	1
648	0
649	0
650	0
651	2
652	0
653	2
654	1
655	2
656	4
657	3
658	6
659	0
660	1
661	5
662	1
663	1
664	7
665	1
666	2
667	3
668	3
669	0
670	3
671	1
672	3
673	2
674	1
675	2
676	4
677	2
678	0
679	1
680	6
681	4
682	4
683	2
684	1
685	2
686	3
687	2
688	3
689	2
690	2
691	2
692	1
693	1
694	0
695	3
696	0
697	2
698	0
699	0
700	1
701	1
702	0
703	1
704	1
705	2
706	0
707	3
708	1
709	3
710	1
711	3
712	1
713	2
714	2
715	1
716	2
717	0
718	1
719	0
720	0
721	2
722	1
723	0
724	0
725	1
726	0
727	1
728	0
729	1
730	0
731	1
732	1
733	1
734	2
735	0
736	1
737	1
738	2
739	0
740	0
741	3
742	0
743	2
744	0
745	1
746	0
747	3
748	0
749	1
750	0
751	3
752	0
753	1
754	1
755	0
756	0
757	1
758	0
759	0
760	0
761	0
762	1
763	0
764	0
765	0
766	0
767	2
768	2
769	0
770	0
771	1
772	2
773	0
774	0
775	0
776	1
777	2
778	1
779	0
780	1
781	0
782	1
783	2
784	1
785	0
786	4
787	1
788	1
789	1
790	3
791	2
792	1
793	3
794	2
795	0
796	0
797	1
798	0
799	0
800	1
801	0
802	1
803	0
804	0
805	1
806	0
807	1
808	0
809	0
810	0
811	1
812	0
813	2
814	0
815	1
816	0
817	0
818	0
819	3
820	2
821	0
822	0
823	1
824	0
825	1
826	1
827	0
828	1
829	0
830	1
831	0
832	0
833	0
834	1
835	1
836	0
837	1
838	1
839	0
840	0
841	0
842	1
843	0
844	0
845	0
846	0
847	0
848	0
849	2
850	1
851	0
852	0
853	2
854	0
855	0
856	1
857	2
858	1
859	0
860	0
861	0
862	4
863	1
864	1
865	0
866	1
867	3
868	0
869	0
870	0
871	1
872	0
873	2
874	0
875	2
876	2
877	0
878	0
879	2
880	0
881	1
882	2
883	0
884	0
885	0
886	0
887	2
888	1
889	2
890	2
891	1
892	1
893	1
894	1
895	3
896	2
897	1
898	2
899	0
900	0
901	1
902	1
903	1
904	1
905	0
906	1
907	0
908	0
909	0
910	0
911	1
912	0
913	0
914	0
915	0
916	1
917	0
918	0
919	1
920	1
921	1
922	4
923	0
924	0
925	0
926	2
927	1
928	0
929	1
930	1
931	1
932	0
933	1
934	0
935	0
936	0
937	0
938	2
939	0
940	1
941	1
942	0
943	1
944	1
945	1
946	3
947	0
948	2
949	3
950	0
951	2
952	0
953	0
954	0
955	2
956	0
957	3
958	2
959	2
960	0
961	2
962	3
963	0
964	0
965	4
966	0
967	3
968	1
969	1
970	2
971	3
972	6
973	6
974	2
975	3
976	6
977	11
978	14
979	16
980	13
981	12
982	28
983	21
984	31
985	29
986	29
987	44
988	48
989	54
990	55
991	43
992	45
993	57
994	52
995	40
996	36
997	27
998	38
999	26
1000	20
1001	14
1002	13
1003	11
1004	12
1005	9
1006	3
1007	3
1008	2
1009	2
1010	3
1011	4
1012	3
1013	1
1014	2
1015	3
1016	0
1017	3
1018	2
1019	4
1020	5
1021	6
1022	6
1023	13
1024	17
1025	13
1026	17
1027	27
1028	29
1029	31
1030	30
1031	29
1032	37
1033	42
1034	49
1035	56
1036	53
1037	49
1038	51
1039	42
1040	47
1041	36
1042	39
1043	27
1044	21
1045	24
1046	14
1047	10
1048	10
1049	7
1050	3
1051	3
1052	5
1053	3
1054	2
1055	1
1056	2
1057	1
1058	1
1059	0
1060	0
1061	3
1062	2
1063	0
1064	0
1065	1
1066	0
1067	1
1068	2
1069	0
1070	0
1071	2
1072	0
1073	2
1074	2
1075	1
1076	1
1077	3
1078	0
1079	1
1080	5
1081	0
1082	1
1083	1
1084	6
1085	1
1086	1
1087	0
1088	2
1089	1
1090	1
1091	1
1092	0
1093	3
1094	1
1095	0
1096	1
1097	1
1098	1
1099	0
1100	3
1101	1
1102	0
1103	2
1104	2
1105	2
1106	3
1107	2
1108	3
1109	8
1110	3
1111	6
1112	10
1113	8
1114	19
1115	16
1116	19
1117	22
1118	16
1119	17
1120	28
1121	25
1122	26
1123	18
1124	18
1125	25
1126	19
1127	14
1128	23
1129	24
1130	17
1131	20
1132	23
1133	18
1134	23
1135	15
1136	18
1137	18
1138	19
1139	11
1140	9
1141	6
1142	15
1143	3
1144	7
1145	1
1146	8
1147	0
1148	4
1149	3
1150	1
1151	2
1152	3
1153	1
1154	0
1155	0
1156	5
1157	0
1158	0
1159	1
1160	4
1161	3
1162	1
1163	5
1164	8
1165	12
1166	6
1167	9
1168	11
1169	6
1170	12
1171	8
1172	11
1173	7
1174	11
1175	2
1176	7
1177	12
1178	9
1179	6
1180	4
1181	7
1182	3
1183	4
1184	4
1185	6
1186	4
1187	2
1188	1
1189	3
1190	4
1191	3
1192	1
1193	2
1194	4
1195	0
1196	1
1197	2
1198	1
1199	4
1200	0
1201	0
1202	1
1203	0
1204	0
1205	1
1206	1
1207	0
1208	1
1209	1
1210	0
1211	0
1212	1
1213	7
1214	0
1215	0
1216	0
1217	1
1218	2
1219	4
1220	4
1221	2
1222	4
1223	3
1224	3
1225	1
1226	6
1227	4
1228	3
1229	2
1230	1
1231	9
1232	1
1233	1
1234	3
1235	0
1236	1
1237	1
1238	2
1239	2
1240	1
1241	3
1242	0
1243	0
1244	1
1245	3
1246	1
1247	1
1248	0
1249	1
1250	0
1251	0
1252	1
1253	1
1254	1
1255	2
1256	0
1257	0
1258	1
1259	0
1260	0
