0,022	3,421	2,259	1,180
0,039	3,670	1,977	1,183
0,056	4,045	1,696	1,183
0,072	3,813	2,048	1,183
0,089	3,471	2,058	1,182
0,106	3,614	1,391	1,181
0,123	4,333	2,036	1,182
0,140	3,866	1,975	1,184
0,155	3,645	1,771	1,182
0,172	3,623	2,107	1,182
0,189	4,097	1,763	1,181
0,206	3,072	1,777	1,183
0,223	3,000	1,822	1,182
0,238	3,283	2,462	1,182
0,255	3,709	1,238	1,182
0,272	3,065	2,251	1,182
0,289	3,178	1,724	1,181
0,305	3,336	1,933	1,185
0,322	3,623	2,207	1,181
0,339	4,121	2,009	1,181
0,356	3,655	1,828	1,182
0,373	3,577	1,795	1,180
0,390	4,132	1,661	1,179
0,405	3,618	1,926	1,181
0,422	4,103	1,643	1,184
0,439	4,437	1,387	1,180
0,456	3,375	1,709	1,181
0,473	3,657	2,289	1,182
0,488	3,776	1,715	1,181
0,507	3,533	2,380	1,184
0,522	3,946	2,051	1,182
0,539	3,479	1,693	1,181
0,556	3,334	2,209	1,184
0,573	3,954	2,139	1,181
0,590	4,597	1,369	1,184
0,605	3,351	1,920	1,183
0,622	3,406	1,645	1,184
0,639	4,048	2,476	1,181
0,656	3,774	2,154	1,183
0,673	4,082	1,696	1,182
0,689	4,153	1,786	1,180
0,706	3,674	2,223	1,182
0,723	4,004	1,519	1,183
0,740	4,186	1,721	1,183
0,755	4,069	1,622	1,182
0,772	3,674	1,621	1,181
0,789	4,588	1,657	1,182
0,806	4,467	2,004	1,182
0,823	4,403	1,935	1,181
0,840	4,249	2,235	1,182
0,857	4,028	1,764	1,182
0,874	3,936	1,384	1,181
0,889	3,622	1,789	1,184
0,906	3,332	1,917	1,181
0,923	3,761	1,524	1,181
0,940	3,991	1,644	1,184
0,957	3,788	2,411	1,184
0,973	3,729	1,894	1,185
0,991	3,892	1,402	1,181
1,006	3,451	1,875	1,179
1,023	3,554	1,708	1,182
1,040	4,272	1,974	1,184
1,057	3,402	2,172	1,183
1,074	3,705	1,732	1,182
1,090	3,591	1,951	1,181
1,106	3,912	1,539	1,182
1,123	3,746	2,031	1,182
1,140	4,146	2,035	1,180
1,157	4,018	2,139	1,183
1,172	3,982	1,972	1,182
1,189	4,121	1,692	1,180
1,206	3,982	1,589	1,182
1,223	4,319	1,914	1,184
1,240	3,744	1,635	1,183
1,257	4,472	1,855	1,182
1,274	3,666	1,271	1,184
1,289	3,634	1,679	1,182
1,306	4,204	2,658	1,185
1,324	3,867	1,496	1,183
1,341	4,146	2,209	1,182
1,356	3,855	1,532	1,183
1,373	4,185	1,519	1,182
1,390	4,046	1,160	1,181
1,407	3,914	2,226	1,182
1,423	3,688	1,594	1,182
