0,020	12,606	1,622	1,183
0,037	12,890	1,740	1,180
0,053	12,190	1,409	1,182
0,071	12,507	1,512	1,186
0,086	12,564	1,566	1,181
0,103	12,316	1,121	1,184
0,120	12,318	1,445	1,184
0,137	12,521	1,118	1,183
0,154	12,870	1,467	1,182
0,171	12,631	1,294	1,184
0,188	12,756	1,402	1,183
0,205	12,240	1,471	1,183
0,221	12,413	1,077	1,181
0,237	12,945	1,512	1,184
0,254	12,850	1,584	1,182
0,271	13,173	1,609	1,181
0,287	12,890	1,228	1,181
0,304	12,733	1,988	1,181
0,321	12,610	1,578	1,181
0,337	12,714	1,872	1,184
0,353	12,484	1,222	1,184
0,371	12,243	1,796	1,182
0,387	12,347	1,467	1,181
0,404	12,491	1,929	1,180
0,421	12,383	1,334	1,183
0,437	12,929	1,400	1,183
0,454	12,364	1,571	1,182
0,471	12,171	1,488	1,182
0,488	12,492	1,334	1,182
0,505	12,862	1,118	1,183
0,521	12,518	1,492	1,184
0,537	12,213	1,768	1,185
0,554	11,861	1,450	1,180
0,571	12,103	1,586	1,179
0,588	12,284	1,511	1,182
0,604	12,626	1,500	1,182
0,621	12,745	1,568	1,185
0,637	12,366	1,765	1,183
0,654	12,117	1,163	1,182
0,671	12,462	1,528	1,180
0,688	12,466	1,347	1,181
0,705	12,643	1,538	1,184
0,721	12,833	1,771	1,181
0,737	12,570	1,567	1,185
0,754	12,574	1,339	1,179
0,771	12,611	1,770	1,184
0,788	12,439	1,556	1,184
0,805	12,366	1,461	1,182
0,821	12,499	1,300	1,183
0,838	12,386	1,571	1,183
0,854	12,449	1,614	1,182
0,871	12,435	1,570	1,182
0,888	12,606	1,509	1,183
0,905	12,598	1,497	1,183
0,920	13,063	1,857	1,183
0,937	12,528	1,619	1,183
0,954	12,364	1,197	1,182
0,971	12,322	1,527	1,180
0,988	12,377	1,421	1,181
1,005	12,963	1,358	1,182
1,021	12,360	1,664	1,183
1,038	12,223	1,212	1,184
1,055	12,150	1,616	1,183
1,072	12,359	1,463	1,184
1,087	12,289	1,388	1,185
1,105	12,797	1,347	1,182
1,122	12,154	1,233	1,183
1,139	12,343	1,609	1,183
1,155	12,576	1,978	1,182
1,171	12,708	1,714	1,182
1,188	12,755	1,856	1,182
