0,030	12,840	1,406	1,182
0,047	12,641	1,302	1,179
0,064	12,466	1,330	1,180
0,081	12,657	1,546	1,182
0,098	12,557	1,257	1,183
0,115	12,447	1,657	1,181
0,130	12,838	1,201	1,180
0,148	12,555	1,277	1,179
0,164	12,506	1,207	1,181
0,181	12,363	1,125	1,182
0,198	12,376	1,580	1,183
0,215	12,272	1,534	1,183
0,231	12,262	1,318	1,180
0,248	12,433	1,718	1,182
0,265	12,497	1,479	1,183
0,280	12,280	1,179	1,182
0,297	12,842	1,069	1,180
0,314	12,236	1,269	1,183
0,331	12,778	1,672	1,182
0,348	12,317	1,376	1,181
0,365	13,011	1,518	1,180
0,382	12,450	1,380	1,181
0,398	12,403	1,328	1,181
0,415	12,508	1,235	1,183
0,431	12,092	1,414	1,182
0,448	12,471	1,051	1,182
0,465	12,734	1,259	1,183
0,482	12,609	1,515	1,180
0,499	12,358	1,566	1,180
0,514	12,727	1,513	1,182
0,531	12,673	1,145	1,180
0,548	12,326	1,327	1,181
0,565	12,557	1,302	1,182
0,582	12,670	1,369	1,182
0,599	12,415	1,685	1,182
0,614	12,825	1,325	1,182
0,631	12,555	1,367	1,182
0,648	12,543	1,332	1,185
0,665	12,763	1,567	1,180
0,682	12,649	1,355	1,181
0,699	12,129	1,166	1,181
0,716	12,477	1,416	1,182
0,731	12,839	2,116	1,183
0,748	12,959	1,290	1,184
0,765	12,437	1,749	1,180
0,782	12,334	1,474	1,180
0,799	12,648	1,419	1,182
0,816	12,074	1,290	1,181
0,831	12,254	1,048	1,182
0,848	12,106	1,313	1,180
0,865	12,599	1,079	1,180
0,882	12,713	1,331	1,180
0,899	12,442	1,127	1,184
0,916	12,654	1,297	1,184
0,933	12,651	1,395	1,180
0,948	12,585	1,203	1,183
0,965	12,728	1,496	1,181
0,982	12,511	1,367	1,184
0,999	12,731	1,443	1,180
1,016	12,790	1,467	1,183
1,032	12,352	1,059	1,182
1,049	12,917	1,213	1,181
