0,035	12,266	1,750	1,186
0,051	12,723	1,578	1,182
0,068	12,224	1,682	1,184
0,085	12,320	1,334	1,186
0,102	12,589	1,381	1,186
0,117	12,492	1,785	1,186
0,134	12,308	1,467	1,187
0,151	12,617	1,534	1,185
0,168	11,889	1,136	1,184
0,184	12,498	1,628	1,187
0,201	12,304	1,425	1,187
0,218	12,296	1,557	1,185
0,235	12,344	1,240	1,187
0,251	12,194	1,414	1,187
0,268	12,953	1,239	1,186
0,284	12,628	1,341	1,186
0,301	12,507	1,415	1,185
0,318	12,541	1,276	1,183
0,335	12,915	1,283	1,186
0,352	12,846	1,711	1,183
0,367	12,644	1,539	1,184
0,386	12,414	1,332	1,184
0,401	12,185	1,616	1,184
0,418	12,525	2,137	1,186
0,435	13,117	1,802	1,186
0,452	12,454	1,627	1,188
0,469	12,528	1,376	1,185
0,484	12,288	1,304	1,183
0,501	12,379	1,568	1,182
0,518	12,627	1,531	1,185
0,535	12,542	1,486	1,187
0,552	12,235	1,617	1,183
0,569	12,319	1,660	1,185
0,584	12,534	1,125	1,185
0,601	12,507	1,265	1,186
0,618	12,745	1,357	1,186
0,635	12,386	1,429	1,188
0,652	12,550	1,339	1,184
0,668	12,664	1,405	1,186
0,685	12,430	1,525	1,187
0,701	12,345	1,526	1,186
0,718	12,461	1,388	1,185
0,735	12,915	1,400	1,183
0,752	12,554	1,408	1,184
0,769	12,516	1,571	1,185
0,784	12,384	1,123	1,184
0,801	12,303	1,497	1,184
0,819	12,627	1,455	1,185
0,836	13,067	1,553	1,182
0,853	12,284	1,841	1,185
0,868	12,682	1,255	1,184
0,885	12,190	1,617	1,185
0,902	12,682	1,491	1,185
0,919	12,520	1,428	1,184
0,936	12,776	1,850	1,183
0,951	12,363	1,690	1,189
0,968	12,355	1,815	1,184
0,985	12,555	1,376	1,183
1,002	12,573	1,379	1,186
1,019	12,510	1,804	1,185
1,036	12,215	1,627	1,184
1,051	12,303	1,459	1,184
1,068	12,214	1,662	1,187
1,085	12,351	1,644	1,185
1,102	12,345	1,413	1,185
1,119	12,476	1,324	1,184
1,135	12,562	1,576	1,185
