0,037	21,575	1,729	1,212
0,054	21,148	1,803	1,213
0,071	22,038	1,153	1,212
0,086	22,044	1,570	1,212
0,103	21,814	1,586	1,210
0,120	22,337	1,523	1,211
0,137	21,566	1,674	1,211
0,154	21,860	1,953	1,209
0,171	22,126	1,481	1,210
0,186	21,739	1,868	1,210
0,204	21,948	1,447	1,210
0,220	21,820	1,462	1,210
0,237	21,403	1,564	1,209
0,254	21,835	1,858	1,211
0,270	22,015	1,360	1,208
0,286	22,143	1,601	1,210
0,304	21,859	2,002	1,209
0,321	21,921	1,665	1,211
0,337	21,456	1,419	1,212
0,354	21,562	1,798	1,210
0,370	22,065	1,821	1,209
0,387	21,438	1,535	1,210
0,403	21,604	1,831	1,210
0,421	21,868	1,580	1,210
0,437	22,276	1,882	1,210
0,454	22,660	1,942	1,213
0,470	21,460	1,568	1,211
0,487	21,795	1,855	1,211
0,504	21,924	1,201	1,210
0,521	21,869	1,525	1,208
0,538	22,364	1,707	1,211
0,553	21,442	1,567	1,213
0,570	22,159	1,251	1,211
0,587	21,678	1,624	1,209
0,604	21,994	1,627	1,211
0,621	21,949	1,353	1,209
0,638	21,663	1,714	1,209
0,653	21,660	1,956	1,211
0,670	22,053	1,719	1,210
0,687	22,141	1,388	1,208
0,704	21,684	1,786	1,213
0,721	21,761	1,309	1,213
0,737	21,870	1,705	1,211
0,754	21,277	1,849	1,207
0,771	21,592	1,521	1,211
0,788	21,501	1,402	1,212
0,805	21,452	1,337	1,212
0,820	22,079	1,445	1,209
0,837	21,590	1,755	1,210
0,854	21,552	1,784	1,211
0,871	22,611	1,736	1,210
0,887	21,475	1,378	1,211
0,904	21,661	1,630	1,212
0,921	21,738	1,387	1,212
0,938	21,893	1,968	1,211
0,955	21,793	1,402	1,210
0,970	21,608	0,991	1,207
0,987	22,439	1,316	1,211
1,004	21,872	1,432	1,206
1,021	21,825	1,308	1,210
1,036	22,041	1,285	1,211
