0,055	22,016	1,259	1,209
0,072	21,433	1,517	1,209
0,090	21,678	1,615	1,208
0,105	21,649	2,014	1,206
0,122	21,507	1,716	1,208
0,140	21,459	1,370	1,207
0,157	21,491	1,493	1,208
0,172	21,639	1,358	1,207
0,189	21,133	1,498	1,205
0,206	21,186	1,568	1,208
0,223	21,438	1,550	1,208
0,239	21,220	1,363	1,209
0,256	21,608	1,547	1,208
0,273	21,397	1,841	1,209
0,289	21,275	1,536	1,208
0,307	21,555	1,408	1,209
0,322	21,463	1,264	1,208
0,339	21,250	1,283	1,208
0,356	21,631	1,352	1,207
0,373	21,134	1,993	1,210
0,391	21,148	1,249	1,208
0,406	21,352	1,837	1,208
0,423	21,110	1,723	1,208
0,440	21,863	1,458	1,210
0,456	21,913	2,008	1,207
0,473	21,150	1,275	1,208
0,490	21,315	1,235	1,205
0,506	21,516	1,164	1,207
0,523	21,807	1,713	1,207
0,539	21,596	1,236	1,210
0,557	21,519	1,487	1,207
0,574	20,925	1,403	1,208
0,589	21,779	1,727	1,208
0,607	21,738	1,472	1,206
0,624	21,162	1,554	1,209
0,639	21,089	1,200	1,207
0,657	21,365	1,577	1,209
0,674	21,387	1,509	1,207
0,690	21,301	1,544	1,208
0,707	21,701	1,433	1,207
0,723	21,337	1,485	1,207
0,740	21,715	1,457	1,208
0,757	21,417	1,328	1,207
0,774	21,674	1,960	1,208
0,789	21,777	1,313	1,209
0,807	21,249	1,282	1,208
0,824	20,980	1,699	1,209
0,839	21,599	1,446	1,210
0,857	21,382	1,419	1,208
0,874	21,493	1,444	1,212
0,889	21,314	1,713	1,206
0,906	21,779	1,401	1,207
0,923	21,867	1,589	1,206
0,940	21,583	1,588	1,208
0,958	21,551	1,087	1,207
0,973	21,303	1,813	1,207
0,990	22,051	1,311	1,210
1,008	21,169	1,474	1,210
1,023	22,181	1,793	1,207
1,040	21,991	1,722	1,207
1,056	21,024	1,514	1,208
1,073	20,895	1,218	1,208
1,090	21,721	1,432	1,210
1,107	21,371	1,384	1,205
1,123	21,101	1,347	1,208
1,140	21,516	1,549	1,210
1,157	21,470	1,633	1,208
1,174	21,920	1,620	1,207
1,191	21,656	1,625	1,207
1,206	21,438	1,491	1,208
1,223	20,847	1,705	1,209
1,240	21,492	1,793	1,210
1,257	21,749	1,484	1,206
1,274	21,621	1,299	1,209
1,290	21,737	1,864	1,208
1,307	21,409	1,607	1,205
1,324	21,490	1,700	1,209
1,341	21,892	1,712	1,207
1,356	21,694	1,499	1,206
1,374	21,181	1,611	1,208
1,391	21,573	1,562	1,207
1,408	21,205	1,767	1,207
1,424	21,395	1,791	1,207
1,441	22,135	1,525	1,205
