0,018	26,948	1,527	1,210
0,035	27,098	1,635	1,209
0,053	27,459	1,329	1,209
0,068	26,776	1,738	1,209
0,085	26,789	1,584	1,211
0,102	27,508	1,182	1,210
0,119	27,104	1,595	1,209
0,136	27,349	1,767	1,212
0,153	26,893	1,602	1,212
0,169	26,393	1,593	1,212
0,187	27,142	1,562	1,207
0,202	27,265	1,334	1,209
0,219	27,200	1,868	1,211
0,236	27,073	1,559	1,212
0,252	26,838	1,224	1,208
0,269	27,215	1,632	1,211
0,286	27,181	1,553	1,211
0,302	26,997	1,984	1,214
0,319	27,178	1,738	1,211
0,336	27,317	1,670	1,213
0,352	26,608	1,543	1,213
0,369	27,560	1,367	1,210
0,386	27,249	1,987	1,210
0,403	27,395	1,204	1,213
0,420	26,893	1,447	1,213
0,436	26,907	1,767	1,212
0,453	26,958	1,478	1,208
0,470	26,946	2,055	1,214
0,486	26,858	1,709	1,214
0,503	27,400	1,566	1,214
0,519	27,585	1,788	1,211
0,535	27,545	1,451	1,209
0,552	27,157	1,663	1,209
0,569	26,475	1,600	1,212
0,586	27,233	1,424	1,213
0,603	27,108	1,697	1,210
0,619	27,626	1,349	1,211
0,636	27,206	1,903	1,211
0,653	26,728	1,494	1,211
0,669	27,245	1,801	1,209
0,686	27,649	1,486	1,211
0,703	27,064	1,581	1,212
0,719	27,225	1,625	1,208
0,736	26,910	1,460	1,212
0,753	27,035	1,189	1,212
0,769	27,053	1,383	1,212
0,786	27,374	1,574	1,210
0,802	26,856	1,454	1,211
0,819	27,031	1,019	1,210
0,837	27,682	1,334	1,212
0,854	26,761	1,695	1,210
0,869	26,953	1,768	1,209
0,886	27,408	1,527	1,212
0,903	26,923	1,297	1,210
0,920	26,581	1,623	1,212
0,937	27,186	1,155	1,212
0,952	26,743	2,294	1,209
0,970	27,047	1,325	1,210
0,986	26,677	1,317	1,214
1,003	27,425	1,497	1,209
1,020	26,903	1,979	1,213
1,037	27,238	1,713	1,212
1,053	26,954	1,614	1,211
1,070	26,513	1,714	1,210
1,087	26,932	1,591	1,210
1,103	27,245	1,715	1,211
1,119	27,096	1,534	1,209
