0,023	7,895	1,109	1,213
0,041	8,409	1,870	1,212
0,056	8,571	1,312	1,211
0,073	8,357	1,520	1,216
0,091	8,253	1,529	1,212
0,106	7,979	1,349	1,211
0,123	8,055	2,277	1,212
0,140	8,611	1,367	1,212
0,156	8,427	1,764	1,211
0,173	7,942	1,368	1,212
0,190	7,856	1,010	1,208
0,207	8,533	1,438	1,211
0,224	8,215	1,124	1,212
0,239	8,820	1,453	1,212
0,256	8,336	1,352	1,212
0,273	8,368	1,637	1,210
0,290	8,234	1,188	1,213
0,306	8,088	1,647	1,209
0,324	8,183	1,565	1,209
0,341	7,991	1,603	1,209
0,356	7,938	1,764	1,212
0,373	8,099	1,500	1,212
0,391	9,013	1,258	1,209
0,406	8,213	1,606	1,212
0,423	8,052	1,719	1,209
0,441	8,383	1,527	1,210
0,456	8,612	1,457	1,210
0,474	8,569	1,644	1,208
0,490	8,787	1,719	1,209
0,507	8,402	1,527	1,215
0,523	8,255	1,725	1,210
0,541	8,392	1,657	1,212
0,557	8,889	1,405	1,212
0,574	8,768	1,818	1,213
0,590	8,115	1,407	1,213
0,607	7,912	1,831	1,211
0,624	8,210	1,440	1,214
0,641	8,327	1,272	1,213
0,657	8,585	1,567	1,213
0,674	8,516	1,401	1,212
0,691	8,219	1,405	1,213
0,708	8,430	1,443	1,211
0,725	8,960	1,594	1,210
0,740	8,112	1,894	1,210
0,757	8,269	1,392	1,213
0,774	8,294	1,654	1,212
0,790	7,859	1,586	1,211
0,807	8,237	1,366	1,210
0,823	8,770	1,172	1,209
0,840	8,445	1,995	1,212
0,857	8,800	1,166	1,212
0,874	7,916	1,862	1,208
0,891	8,987	1,670	1,208
0,907	8,234	1,220	1,210
0,924	8,472	1,606	1,213
0,941	8,628	1,578	1,213
0,956	8,019	1,822	1,210
0,974	8,482	1,492	1,210
0,991	8,827	1,386	1,209
1,006	8,209	1,265	1,211
1,024	9,104	1,564	1,211
1,040	8,573	1,396	1,213
