0,022	21,812	1,682	1,205
0,039	21,541	1,493	1,206
0,056	21,372	1,569	1,207
0,073	21,593	1,085	1,205
0,088	21,955	1,462	1,208
0,105	21,413	1,867	1,204
0,122	22,265	1,187	1,205
0,139	21,687	1,528	1,208
0,156	22,253	1,291	1,206
0,173	21,931	1,790	1,204
0,190	22,060	1,493	1,205
0,206	21,049	1,437	1,205
0,223	21,601	1,729	1,205
0,240	22,093	1,558	1,205
0,257	21,953	1,701	1,206
0,272	21,692	1,293	1,201
0,289	22,022	1,400	1,205
0,306	21,642	1,616	1,206
0,323	21,467	1,148	1,208
0,338	21,951	1,115	1,206
0,355	21,168	1,168	1,204
0,372	21,804	1,770	1,206
0,389	21,036	1,271	1,205
0,406	21,672	1,589	1,205
0,423	22,925	1,366	1,206
0,440	21,640	1,414	1,206
0,455	20,707	1,376	1,206
0,472	21,806	1,710	1,206
0,489	22,038	1,332	1,207
0,506	22,361	1,437	1,204
0,523	21,486	1,582	1,205
0,540	21,833	1,092	1,204
0,557	21,488	1,114	1,205
0,572	22,096	1,427	1,203
0,589	21,860	1,416	1,204
0,606	21,734	1,454	1,208
0,623	21,536	1,480	1,208
0,640	21,898	1,346	1,204
0,657	21,988	1,257	1,203
0,672	21,954	1,199	1,206
0,689	21,669	1,192	1,205
0,706	21,695	1,693	1,208
0,723	21,386	1,854	1,204
0,740	21,604	0,994	1,209
0,757	21,696	1,566	1,206
0,772	22,269	1,635	1,205
0,789	21,690	1,688	1,208
0,806	22,039	2,007	1,208
0,823	21,928	1,482	1,207
0,840	21,703	1,345	1,205
0,857	21,768	1,674	1,206
0,874	21,554	1,357	1,205
0,889	22,094	1,446	1,207
0,906	21,407	1,358	1,205
0,923	21,840	1,257	1,204
0,940	21,868	1,580	1,206
0,957	21,888	1,331	1,208
0,974	21,973	1,479	1,207
0,991	21,878	1,262	1,207
1,006	23,336	1,493	1,208
1,023	21,633	1,485	1,206
1,040	21,714	1,695	1,208
1,057	21,790	1,861	1,207
